GeneID,PC1,PC2,PC3,PC4,PC5,PC6,PC7
RAC1,-2.444657392,0.171584326,0.106615822,-0.10929049,-0.195530705,0.06839289,-0.145651646
NUP214,-2.026035529,0.023953955,0.492883528,-0.091837205,-0.140517064,0.967444139,-0.410377246
AIF1L,1.890927533,-0.568919962,-1.638237325,1.029210022,1.204132851,0.159123059,0.152693823
CPA3,1.904478269,-1.781878493,-0.820664863,1.686286491,-0.411020372,0.373299198,-0.137121334
LTBP1,3.043992927,-0.573813534,-0.778665078,0.254005659,-0.550494601,-0.33555829,-0.825362923
UGP2,0.302375035,1.706247328,-0.144393464,-1.817233368,0.577799091,1.577074341,-0.104757298
TRMT1,-2.19875838,0.461415712,0.118733054,0.325048304,-0.120836913,-0.110576904,-0.555298769
NACC1,-1.023203249,-2.004627651,0.272511674,1.061171993,0.279865716,0.905911903,0.438539469
NFIX,-2.153536781,0.917153862,-0.400834285,0.599432175,0.197172909,0.355959928,0.184038895
SLC1A5,0.092802598,-1.050397895,0.837478039,1.048069417,-1.751090647,-1.589512987,-0.337636708
UBA1,-2.018513485,0.325771292,-0.012449686,-0.00435246,-0.930925746,0.682015678,-0.080741871
VWF,1.431671911,-0.946071031,-1.079823202,1.710796866,-0.03421256,0.392333158,-1.29391536
SIAE,-0.520615568,1.162753677,-0.356670065,1.460684176,-1.625132416,-0.094186424,0.41474494
VSIG2,1.819415832,-1.543615097,1.385544355,-1.223657286,0.438895845,-0.492610364,-0.881441416
ESAM,2.55542863,0.699993113,0.489055893,-1.451988815,0.489348506,1.260108886,-0.100235525
SPA17,-1.048093054,1.728500335,-0.543942588,-0.149797242,1.745425919,-0.348744111,0.702687046
FAM50A,-1.313067215,1.841468302,0.48980469,0.228994534,-0.388019038,0.130228481,0.114257634
EMD,-1.825624959,1.196349512,0.934663429,-0.663389157,-0.037396175,0.128358453,-0.430758501
TACO1,2.924976109,-0.110616036,1.415056144,-1.173942133,-0.043878081,0.260091345,-0.211581816
GRIK3,1.22417936,0.198360414,-1.068629148,-0.170926174,-0.751126308,-1.825776539,1.435176174
GRIA3,2.522980253,-0.753681322,-1.950937359,0.090913179,0.808533142,1.322089483,0.854759802
SIPA1L2,3.486545524,-0.155443208,0.838769113,-0.615224603,0.231496419,-0.442826217,0.49659776
AP4E1,-2.319785837,-0.975522217,-0.114968253,-0.636190579,-0.053088721,-0.067550232,-0.467264206
BLVRA,0.010563869,1.275602429,0.961918942,1.502218599,-0.234855541,-0.303915958,0.276102633
PDZD4,1.070434738,0.897595059,-2.023610023,0.889510538,1.686095933,0.128452679,0.262409842
SRPK3,-1.125882743,0.093614621,0.397817032,2.1545112,1.518595737,-0.434848644,-0.334334497
IDH3G,0.941551598,2.662069257,0.679661311,-0.888095279,0.69391662,0.663235631,-0.304831387
PNCK,0.236401056,2.149717313,-0.913526884,-1.181047079,-0.563159941,-0.222847569,1.453459293
SSR4,-2.319675859,0.697485671,-0.31617629,0.026245494,1.024696713,-0.550404027,-0.13254076
